canonical,source,alias,method,validated
Fiorentina,football-data,Fiorentina,identity,true
Fiorentina,understat,Fiorentina,seed,false
Frosinone,football-data,Frosinone,identity,true
Frosinone,understat,Frosinone,seed,false
Genoa,football-data,Genoa,identity,true
Genoa,understat,Genoa,seed,false
Inter,football-data,Inter,identity,true
Inter,understat,Inter,seed,false
Juventus,football-data,Juventus,identity,true
Juventus,understat,Juventus,seed,false
Lazio,football-data,Lazio,identity,true
Lazio,understat,Lazio,seed,false
Lecce,football-data,Lecce,identity,true
Lecce,understat,Lecce,seed,false
Monza,football-data,Monza,identity,true
Monza,understat,Monza,seed,false
Napoli,football-data,Napoli,identity,true
Napoli,understat,Napoli,seed,false
Palermo,football-data,Palermo,identity,true
Palermo,understat,Palermo,seed,false
Parma Calcio 1913,football-data,Parma,seed,false
Parma Calcio 1913,understat,Parma Calcio 1913,seed,false
Pescara,football-data,Pescara,identity,true
Pescara,understat,Pescara,seed,false
Pisa,football-data,Pisa,identity,true
Pisa,understat,Pisa,seed,false
Roma,football-data,Roma,identity,true
Roma,understat,Roma,seed,false
Salernitana,football-data,Salernitana,identity,true
Salernitana,understat,Salernitana,seed,false
Sampdoria,football-data,Sampdoria,identity,true
Sampdoria,understat,Sampdoria,seed,false
Sassuolo,football-data,Sassuolo,identity,true
Sassuolo,understat,Sassuolo,seed,false
SPAL 2013,football-data,Spal,seed,false
SPAL 2013,understat,SPAL 2013,seed,false
Spezia,football-data,Spezia,identity,true
Spezia,understat,Spezia,seed,false
Torino,football-data,Torino,identity,true
Torino,understat,Torino,seed,false
Udinese,football-data,Udinese,identity,true
Udinese,understat,Udinese,seed,false
Venezia,football-data,Venezia,identity,true
Venezia,understat,Venezia,seed,false
Verona,football-data,Verona,identity,true
Verona,understat,Verona,seed,false
Ajaccio,football-data,Ajaccio,identity,true
Ajaccio,understat,Ajaccio,seed,false
Amiens,football-data,Amiens,identity,true
Amiens,understat,Amiens,seed,false
Angers,football-data,Angers,identity,true
Angers,understat,Angers,seed,false
Auxerre,football-data,Auxerre,identity,true
Auxerre,understat,Auxerre,seed,false
Bastia,football-data,Bastia,identity,true
Bastia,understat,Bastia,seed,false
Bordeaux,football-data,Bordeaux,identity,true
Bordeaux,understat,Bordeaux,seed,false
Brest,football-data,Brest,identity,true
Brest,understat,Brest,seed,false
Caen,football-data,Caen,identity,true
Caen,understat,Caen,seed,false
Clermont Foot,football-data,Clermont,seed,false
Clermont Foot,understat,Clermont Foot,seed,false
Dijon,football-data,Dijon,identity,true
Dijon,understat,Dijon,seed,false
Evian Thonon Gaillard,football-data,Evian Thonon Gaillard,identity,true
Evian Thonon Gaillard,understat,Evian Thonon Gaillard,seed,false
Guingamp,football-data,Guingamp,identity,true
Guingamp,understat,Guingamp,seed,false
Le Havre,football-data,Le Havre,identity,true
Le Havre,understat,Le Havre,seed,false
Lens,football-data,Lens,identity,true
Lens,understat,Lens,seed,false
Lille,football-data,Lille,identity,true
Lille,understat,Lille,seed,false
Lorient,football-data,Lorient,identity,true
Lorient,understat,Lorient,seed,false
Lyon,football-data,Lyon,identity,true
Lyon,understat,Lyon,seed,false
Marseille,football-data,Marseille,identity,true
Marseille,understat,Marseille,seed,false
Metz,football-data,Metz,identity,true
Metz,understat,Metz,seed,false
Monaco,football-data,Monaco,identity,true
Monaco,understat,Monaco,seed,false
Montpellier,football-data,Montpellier,identity,true
Montpellier,understat,Montpellier,seed,false
Nancy,football-data,Nancy,identity,true
Nancy,understat,Nancy,seed,false
Nantes,football-data,Nantes,identity,true
Nantes,understat,Nantes,seed,false
Nice,football-data,Nice,identity,true
Nice,understat,Nice,seed,false
Nimes,football-data,Nimes,identity,true
Nimes,understat,Nimes,seed,false
Paris FC,football-data,Paris FC,identity,true
Paris FC,understat,Paris FC,seed,false
Paris Saint Germain,football-data,Paris SG,seed,false
Paris Saint Germain,understat,Paris Saint Germain,seed,false
Reims,football-data,Reims,identity,true
Reims,understat,Reims,seed,false
Rennes,football-data,Rennes,identity,true
Rennes,understat,Rennes,seed,false
Saint-Etienne,football-data,St Etienne,seed,false
Saint-Etienne,understat,Saint-Etienne,seed,false
Strasbourg,football-data,Strasbourg,identity,true
Strasbourg,understat,Strasbourg,seed,false
Toulouse,football-data,Toulouse,identity,true
Toulouse,understat,Toulouse,seed,false
Troyes,football-data,Troyes,identity,true
Troyes,understat,Troyes,seed,false
Alemannia Aachen,football-data,Aachen,manual,false
GFC Ajaccio,football-data,Ajaccio GFCO,manual,false
Albacete,football-data,Albacete,identity,true
Ancona,football-data,Ancona,identity,true
Arles-Avignon,football-data,Arles,manual,false
Ascoli,football-data,Ascoli,identity,true
Bari,football-data,Bari,identity,true
Birmingham City,football-data,Birmingham,manual,false
Blackburn Rovers,football-data,Blackburn,manual,false
Bolton Wanderers,football-data,Bolton,manual,false
Boulogne,football-data,Boulogne,identity,true
Bradford City,football-data,Bradford,manual,false
Eintracht Braunschweig,football-data,Braunschweig,manual,false
Catania,football-data,Catania,identity,true
Cesena,football-data,Cesena,identity,true
Charlton Athletic,football-data,Charlton,manual,false
Cordoba,football-data,Cordoba,identity,true
Energie Cottbus,football-data,Cottbus,manual,false
Coventry City,football-data,Coventry,manual,false
Derby County,football-data,Derby,manual,false
MSV Duisburg,football-data,Duisburg,manual,false
Gimnastic Tarragona,football-data,Gimnastic,manual,false
Grenoble,football-data,Grenoble,identity,true
Hansa Rostock,football-data,Hansa Rostock,identity,true
Istres,football-data,Istres,identity,true
Kaiserslautern,football-data,Kaiserslautern,identity,true
Karlsruher SC,football-data,Karlsruhe,manual,false
Le Mans,football-data,Le Mans,identity,true
Livorno,football-data,Livorno,identity,true
Messina,football-data,Messina,identity,true
Modena,football-data,Modena,identity,true
1860 Munich,football-data,Munich 1860,manual,false
Real Murcia,football-data,Murcia,manual,false
Novara,football-data,Novara,identity,true
Numancia,football-data,Numancia,identity,true
Perugia,football-data,Perugia,identity,true
Piacenza,football-data,Piacenza,identity,true
Portsmouth,football-data,Portsmouth,identity,true
Reading,football-data,Reading,identity,true
Recreativo Huelva,football-data,Recreativo,manual,false
Reggina,football-data,Reggina,identity,true
Racing Santander,football-data,Santander,manual,false
Sedan,football-data,Sedan,identity,true
Siena,football-data,Siena,identity,true
Sochaux,football-data,Sochaux,identity,true
Tenerife,football-data,Tenerife,identity,true
Treviso,football-data,Treviso,identity,true
Unterhaching,football-data,Unterhaching,identity,true
Valenciennes,football-data,Valenciennes,identity,true
Vicenza,football-data,Vicenza,identity,true
Wigan Athletic,football-data,Wigan,manual,false
Xerez,football-data,Xerez,identity,true
Real Zaragoza,football-data,Zaragoza,manual,false
Cesena,understat,Cesena,seed,false
Cordoba,understat,Cordoba,seed,false
GFC Ajaccio,understat,GFC Ajaccio,seed,false
